SKU,Product Name,Short Description,Long Description,Action,Sellable,Thumbnail image url,Product page url,Price,Price min,Price max,Currency code,Visibility,Custom attributes,Attributes,Categories,Variant attributes,Full Size Image URL,Review Score,Review Count,Categories ids,Compare At Price,Creation Date
800125012173,ALFABETO,ALFABETO,ALFABETO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/235423.JPG,tabs/detalle-producto/235423,403.000,403.000,403.000,USD,1,,"{""MARCA"":[""DE CECCO""],""CATEGORIA"":[""Pastas Secas""]}","[""Pastas Secas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/235423.JPG,0,0,"[""38""]",403.000,2026-05-08 14:49:29
800125014541,PENNE RIGATE TRICOLORE CECCO,PENNE RIGATE TRICOLORE CECCO,PENNE RIGATE TRICOLORE CECCO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/301210.JPG,tabs/detalle-producto/301210,458.000,458.000,458.000,USD,1,,"{""MARCA"":[""DE CECCO""],""CATEGORIA"":[""Pastas Secas""]}","[""Pastas Secas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/301210.JPG,0,0,"[""38""]",458.000,2026-05-08 14:49:29
800125020103,FETTUCCINE AL HUEVO Nº103,FETTUCCINE AL HUEVO Nº103,FETTUCCINE AL HUEVO Nº103,insert,1,https://riba.app/imgrs/THUMBS%20500X500/60391.JPG,tabs/detalle-producto/60391,388.000,388.000,388.000,USD,1,,"{""MARCA"":[""DE CECCO""],""CATEGORIA"":[""Pastas Secas""]}","[""Pastas Secas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/60391.JPG,0,0,"[""38""]",388.000,2026-05-08 14:49:29
800125020104,TAGLLATELLE DE CECCO 250G,TAGLLATELLE DE CECCO 250G,TAGLLATELLE DE CECCO 250G,insert,1,https://riba.app/imgrs/THUMBS%20500X500/64037.JPG,tabs/detalle-producto/64037,413.000,413.000,413.000,USD,1,,"{""MARCA"":[""DE CECCO""],""CATEGORIA"":[""Pastas Secas""]}","[""Pastas Secas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/64037.JPG,0,0,"[""38""]",413.000,2026-05-08 14:49:29
800125031034,FUSILLI INTEGRAL 12 500 GR,FUSILLI INTEGRAL 12 500 GR,FUSILLI INTEGRAL 12 500 GR,insert,1,https://riba.app/imgrs/THUMBS%20500X500/117112.JPG,tabs/detalle-producto/117112,400.000,400.000,400.000,USD,1,,"{""MARCA"":[""DE CECCO""],""CATEGORIA"":[""Pastas Secas""]}","[""Pastas Secas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/117112.JPG,0,0,"[""38""]",400.000,2026-05-08 14:49:29
800125041041,PASTA DE ESPINACA PENNE RIGATE,PASTA DE ESPINACA PENNE RIGATE,PASTA DE ESPINACA PENNE RIGATE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/359038.JPG,tabs/detalle-producto/359038,467.000,467.000,467.000,USD,1,,"{""MARCA"":[""DE CECCO""],""CATEGORIA"":[""Pastas Secas""]}","[""Pastas Secas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/359038.JPG,0,0,"[""38""]",467.000,2026-05-08 14:49:29
800144011904,DATEERINI PELATI CIRIO,DATEERINI PELATI CIRIO,DATEERINI PELATI CIRIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/327637.JPG,tabs/detalle-producto/327637,267.000,267.000,267.000,USD,1,,"{""MARCA"":[""CIRIO""],""CATEGORIA"":[""Conservas Y Encurtidos""]}","[""Conservas Y Encurtidos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/327637.JPG,0,0,"[""21""]",267.000,2026-05-08 14:49:29
800144012416,PASTA SUGO NAPOLETAN CIRIO,PASTA SUGO NAPOLETAN CIRIO,PASTA SUGO NAPOLETAN CIRIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/196531.JPG,tabs/detalle-producto/196531,294.000,294.000,294.000,USD,1,,"{""MARCA"":[""CIRIO""],""CATEGORIA"":[""Aderezos Y Salsas""]}","[""Aderezos Y Salsas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/196531.JPG,0,0,"[""18""]",294.000,2026-05-08 14:49:29
800144012418,SUGO BASILICO ,SUGO BASILICO ,SUGO BASILICO ,insert,1,https://riba.app/imgrs/THUMBS%20500X500/196532.JPG,tabs/detalle-producto/196532,294.000,294.000,294.000,USD,1,,"{""MARCA"":[""CIRIO""],""CATEGORIA"":[""Aderezos Y Salsas""]}","[""Aderezos Y Salsas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/196532.JPG,0,0,"[""18""]",294.000,2026-05-08 14:49:29
800144013391,PURE PASSTA DE TOMATE CIRIO,PURE PASSTA DE TOMATE CIRIO,PURE PASSTA DE TOMATE CIRIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/312244.JPG,tabs/detalle-producto/312244,78.000,78.000,78.000,USD,1,,"{""MARCA"":[""CIRIO""],""CATEGORIA"":[""Aderezos Y Salsas""]}","[""Aderezos Y Salsas""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/312244.JPG,0,0,"[""18""]",78.000,2026-05-08 14:49:29
800165500101,RISO PASINI RICE ARBORIO,RISO PASINI RICE ARBORIO,RISO PASINI RICE ARBORIO,insert,1,https://riba.app/imgrs/THUMBS%20500X500/215412.JPG,tabs/detalle-producto/215412,1.070.000,1.070.000,1.070.000,USD,1,,"{""MARCA"":[""RISO PASINI""],""CATEGORIA"":[""Arroz Y Granos""]}","[""Arroz Y Granos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/215412.JPG,0,0,"[""19""]",1.070.000,2026-05-08 14:49:29
800165500226,RISO PASINI ROMA,RISO PASINI ROMA,RISO PASINI ROMA,insert,1,https://riba.app/imgrs/THUMBS%20500X500/215418.JPG,tabs/detalle-producto/215418,892.000,892.000,892.000,USD,1,,"{""MARCA"":[""RISO PASINI""],""CATEGORIA"":[""Arroz Y Granos""]}","[""Arroz Y Granos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/215418.JPG,0,0,"[""19""]",892.000,2026-05-08 14:49:29
800165500330,PASINI RICE BROWN RICE,PASINI RICE BROWN RICE,PASINI RICE BROWN RICE,insert,1,https://riba.app/imgrs/THUMBS%20500X500/215417.JPG,tabs/detalle-producto/215417,764.000,764.000,764.000,USD,1,,"{""MARCA"":[""RISO PASINI""],""CATEGORIA"":[""Arroz Y Granos""]}","[""Arroz Y Granos""]",NULL,https://riba.app/imgrs/THUMBS%20500X500/215417.JPG,0,0,"[""19""]",764.000,2026-05-08 14:49:29
